person,ok,byte_errors
Queen_Beatrix,0,29
Queen_Latifah,1,28
Rachel_Griffiths,0,32
Rachel_Hunter,0,31
Rafael_Ramirez,1,26
Raghad_Saddam_Hussein,1,27
Ralph_Firman,0,32
Ralph_Klein,0,31
Ralph_Lauren,0,29
Ranil_Wickremasinghe,0,30
Raoul_Ruiz,0,29
Raquel_Welch,1,22
Ray_Allen,0,31
Ray_Nagin,0,30
Raymond_Odierno,1,14
Rebecca_Romijn-Stamos,0,32
Rebekah_Chantay_Revels,1,28
Reese_Witherspoon,0,29
Reggie_Miller,0,30
Ricardo_Lopez_Murphy,0,30
Ricardo_Maduro,1,28
Ricardo_Monasterio,1,28
Rich_Gannon,0,29
Richard_Branson,0,31
Richard_Butler,1,24
Richard_Crenna,0,29
Richard_Haass,1,27
Richard_Krajicek,0,31
Richard_Myers,1,28
Richard_Norton-Taylor,0,29
Richard_Sambrook,1,27
Richard_Shelby,1,28
Richie_Adubato,0,32
Rick_Barnes,0,31
Rick_Carlisle,0,32
Rick_Dinse,1,28
Rick_Pitino,0,29
Rick_Romley,1,28
Rick_Santorum,0,31
Rick_Stansbury,1,27
Rick_Wagoner,1,28
Ricky_Barnes,0,30
Ricky_Martin,0,31
Ricky_Ponting,0,31
Rio_Ferdinand,0,30
Rita_Grande,0,30
Rita_Moreno,0,30
Rita_Wilson,0,29
Rob_Lowe,0,30
Rob_Schneider,0,32
Robbie_Fowler,1,27
Robbie_Williams,0,30
Robby_Ginepri,0,31
Robert_Blackwill,0,32
Robert_Bonner,0,31
Robert_Bullock,1,22
Robert_DeFraites,1,22
Robert_Ehrlich,0,31
Robert_Evans,1,25
Robert_Fico,0,29
Robert_Horan,0,29
Robert_Mugabe,1,28
Robert_Stack,0,29
Robert_Torricelli,0,30
Robert_Witt,1,28
Roberto_Benigni,0,31
Roberto_Carlos,0,30
Roberto_Marinho,0,29
Robin_Cook,0,32
Robin_McLaurin_Williams,0,32
Robinson_Stevenin,0,29
Rod_Blagojevich,0,29
Rod_Stewart,0,30
Rodrigo_Borja,0,31
Roger_Clemens,1,28
Rogerio_Romero,0,30
Rolandas_Paksas,0,32
Rolf_Eckrodt,0,31
Ron_Howard,0,32
Ronald_Reagan,0,31
Ronaldo_Luis_Nazario_de_Lima,1,28
Roseanne_Barr,0,32
Rosemarie_Stack,1,28
Roy_Jones_Jr,0,32
Roy_Williams,0,31
Ruben_Studdard,1,28
Rupert_Grint,0,31
Rupert_Murdoch,0,29
Russell_Coutts,0,32
Russell_Crowe,1,27
Ruth_Dreifuss,0,29
Ruth_Harlow,0,32
S_Jayakumar,0,32
Saburo_Kawabuchi,1,28
Sachiko_Yamada,1,27
Sadie_Frost,0,31
Saeb_Erekat,0,30
Sally_Field,1,26
Sally_Kirkland,0,30
Sally_Ride,0,29
Salman_Rushdie,0,32
Sam_Bith,1,28
Sam_Mendes,1,26
Sam_Torrance,1,26
Samira_Makhmalbaf,0,30
Sammy_Sosa,0,31
Samuel_Waksal,1,27
Sandra_Bullock,0,31
Saparmurat_Niyazov,0,31
Sarah_Michelle_Gellar,0,30
Scott_McNealy,0,32
Scott_Ritter,1,28
Scott_Rudin,0,29
Scott_Sullivan,0,29
Scott_Wolf,1,27
Sean_Astin,0,30
Sean_Hayes,1,26
Sean_Patrick_OMalley,1,24
Sean_Penn,0,30
Sebastian_Saja,0,30
Sebastien_Grosjean,0,31
Sepp_Blatter,0,30
Sergio_Garcia,0,30
Shane_Mosley,0,31
Shane_Warne,0,31
Shannon_OBrien,0,31
Sharon_Davis,1,24
Sharon_Frey,0,30
Sharon_Osbourne,0,32
Shaukat_Aziz,0,32
Shaul_Mofaz,1,28
Sheila_Copps,0,32
Sheila_Fraser,0,29
Sheila_Wellstone,0,29
Shia_LaBeouf,0,29
Sila_Calderon,0,29
Silvia_Farina_Elia,0,30
Silvio_Fernandez,0,29
Simon_Cowell,0,30
Slobodan_Milosevic,1,26
Sonia_Gandhi,1,28
Stacy_Dragila,0,32
Stanley_McChrystal,0,30
Stanley_Tong,0,30
Stefano_Accorsi,0,29
Stellan_Skarsgard,0,31
Stephen_Ambrose,0,31
Stephen_Daldry,1,27
Stephen_Friedman,0,31
Steve_Backley,1,28
Steve_Ballmer,0,29
Steve_Mariucci,0,30
Steve_Park,0,30
Steve_Spurrier,0,29
Steve_Waugh,1,28
Steven_Hatfill,1,28
Steven_Seagal,1,28
Stockard_Channing,0,30
Strom_Thurmond,0,30
Sue_Wicks,0,29
Surakait_Sathirathai,0,32
Susan_Collins,0,29
Susie_Castillo,0,29
Susilo_Bambang_Yudhoyono,0,31
Suzanne_Gaudet,0,29
Svetlana_Koroleva,1,24
Takashi_Sorimachi,1,28
Tamara_Brooks,0,30
Tammy_Lynn_Michaels,0,30
Tassos_Papadopoulos,0,32
Taufik_Hidayat,1,23
Ted_Maher,0,30
Terje_Roed-Larsen,1,27
Terrell_Suggs,0,30
Terry_McAuliffe,1,28
Terry_Stotts,0,29
Thabo_Mbeki,0,32
Theo_Epstein,0,29
Theodore_Tweed_Roosevelt,0,29
Theresa_May,1,28
Thierry_Falise,1,28
Thomas_Birmingham,0,29
Thomas_Bjorn,0,29
Thomas_Fargo,1,26
Thomas_Malchow,0,32
Thomas_Rupprath,0,32
Thomas_Wyman,0,30
Tim_Allen,1,24
Tim_Chapman,0,32
Tim_Conway,0,30
Tim_Curry,0,29
Tim_Duncan,0,29
Tim_Floyd,1,27
Tippi_Hedren,0,31
Todd_Haynes,0,31
Tom_Brady,0,30
Tom_Coverdale,0,30
Tom_Craddick,0,29
Tom_Glavine,1,27
Tom_Jones,0,31
Tom_Reilly,0,31
Tom_Watson,0,31
Tommy_Robredo,0,30
Tomoko_Hagiwara,0,29
Toni_Braxton,0,31
Tony_Bennett,1,25
Tony_Curtis,1,28
Tony_Parker,0,31
Tony_Shalhoub,0,32
Torri_Edwards,0,30
Toshihiko_Fukui,1,26
Tracee_Ellis_Ross,1,27
Tracy_McGrady,1,28
Tsutomu_Takebe,0,30
Tubby_Smith,1,27
Tyler_Hamilton,1,28
Tyra_Banks,0,31
Tyron_Garner,0,32
Uma_Thurman,1,28
Vaclav_Klaus,1,28
Valdas_Adamkus,0,31
Valerie_Harper,1,28
Vanessa_Incontrada,0,29
Vanessa_Williams,0,31
Vicki_Zhao_Wei,0,30
Victoria_Beckham,0,31
Vidar_Helgesen,0,32
Vin_Diesel,0,32
Vince_Carter,0,29
Vince_Gill,0,29
Vincent_Gallo,1,28
Vitali_Klitschko,0,30
Vivica_Fox,0,30
Vladimir_Spidla,0,29
Vladimir_Voltchkov,0,31
Vladimiro_Montesinos,0,32
Wang_Yi,1,26
Wang_Yingfan,1,27
Warren_Beatty,0,30
Warren_Buffett,0,32
Wayne_Gretzky,1,26
Wesley_Clark,1,28
Will_Smith,0,29
William_Bratton,0,29
William_Bulger,0,31
William_Burns,1,27
William_Hochul,0,31
William_Martin,1,26
William_Rehnquist,0,30
Win_Aung,0,29
Wolfgang_Schuessel,0,32
Wu_Yi,1,27
Yann_Martel,0,29
Yasar_Yakis,0,31
Yevgeny_Kafelnikov,0,31
Yossi_Beilin,0,31
Yu_Shyi-kun,0,29
Yukiko_Okudo,0,32
Yuri_Fedotov,1,27
Yuri_Malenchenko,0,31
Zafarullah_Khan_Jamali,1,28
Zarai_Toledo,0,32
Zhang_Wenkang,1,28
Zhang_Ziyi,0,32
Zico,1,26
Zoran_Djindjic,1,27
