theta,person,ok
0,Bill_Gates,0
2,Bill_Gates,0
4,Bill_Gates,0
6,Bill_Gates,0
8,Bill_Gates,0
10,Bill_Gates,0
12,Bill_Gates,0
14,Bill_Gates,0
16,Bill_Gates,0
18,Bill_Gates,0
20,Bill_Gates,0
22,Bill_Gates,0
24,Bill_Gates,0
26,Bill_Gates,0
28,Bill_Gates,0
30,Bill_Gates,0
32,Bill_Gates,0
34,Bill_Gates,0
36,Bill_Gates,0
38,Bill_Gates,0
40,Bill_Gates,0
0,Bill_Graham,0
2,Bill_Graham,0
4,Bill_Graham,0
6,Bill_Graham,0
8,Bill_Graham,0
10,Bill_Graham,0
12,Bill_Graham,0
14,Bill_Graham,0
16,Bill_Graham,0
18,Bill_Graham,0
20,Bill_Graham,0
22,Bill_Graham,0
24,Bill_Graham,0
26,Bill_Graham,0
28,Bill_Graham,0
30,Bill_Graham,0
32,Bill_Graham,0
34,Bill_Graham,0
36,Bill_Graham,0
38,Bill_Graham,0
40,Bill_Graham,0
0,Bill_McBride,1
2,Bill_McBride,1
4,Bill_McBride,1
6,Bill_McBride,1
8,Bill_McBride,1
10,Bill_McBride,1
12,Bill_McBride,0
14,Bill_McBride,0
16,Bill_McBride,0
18,Bill_McBride,0
20,Bill_McBride,0
22,Bill_McBride,0
24,Bill_McBride,0
26,Bill_McBride,0
28,Bill_McBride,0
30,Bill_McBride,0
32,Bill_McBride,0
34,Bill_McBride,0
36,Bill_McBride,0
38,Bill_McBride,0
40,Bill_McBride,0
0,Bill_Simon,1
2,Bill_Simon,1
4,Bill_Simon,0
6,Bill_Simon,0
8,Bill_Simon,0
10,Bill_Simon,0
12,Bill_Simon,0
14,Bill_Simon,0
16,Bill_Simon,0
18,Bill_Simon,0
20,Bill_Simon,0
22,Bill_Simon,0
24,Bill_Simon,0
26,Bill_Simon,0
28,Bill_Simon,0
30,Bill_Simon,0
32,Bill_Simon,0
34,Bill_Simon,0
36,Bill_Simon,0
38,Bill_Simon,0
40,Bill_Simon,0
0,Billy_Crystal,0
2,Billy_Crystal,0
4,Billy_Crystal,0
6,Billy_Crystal,0
8,Billy_Crystal,0
10,Billy_Crystal,0
12,Billy_Crystal,0
14,Billy_Crystal,0
16,Billy_Crystal,0
18,Billy_Crystal,0
20,Billy_Crystal,0
22,Billy_Crystal,0
24,Billy_Crystal,0
26,Billy_Crystal,0
28,Billy_Crystal,0
30,Billy_Crystal,0
32,Billy_Crystal,0
34,Billy_Crystal,0
36,Billy_Crystal,0
38,Billy_Crystal,0
40,Billy_Crystal,0
0,Binyamin_Ben-Eliezer,0
2,Binyamin_Ben-Eliezer,0
4,Binyamin_Ben-Eliezer,0
6,Binyamin_Ben-Eliezer,0
8,Binyamin_Ben-Eliezer,0
10,Binyamin_Ben-Eliezer,0
12,Binyamin_Ben-Eliezer,0
14,Binyamin_Ben-Eliezer,0
16,Binyamin_Ben-Eliezer,0
18,Binyamin_Ben-Eliezer,0
20,Binyamin_Ben-Eliezer,0
22,Binyamin_Ben-Eliezer,0
24,Binyamin_Ben-Eliezer,0
26,Binyamin_Ben-Eliezer,0
28,Binyamin_Ben-Eliezer,0
30,Binyamin_Ben-Eliezer,0
32,Binyamin_Ben-Eliezer,0
34,Binyamin_Ben-Eliezer,0
36,Binyamin_Ben-Eliezer,0
38,Binyamin_Ben-Eliezer,0
40,Binyamin_Ben-Eliezer,0
0,Bob_Graham,0
2,Bob_Graham,0
4,Bob_Graham,0
6,Bob_Graham,0
8,Bob_Graham,0
10,Bob_Graham,0
12,Bob_Graham,0
14,Bob_Graham,0
16,Bob_Graham,0
18,Bob_Graham,0
20,Bob_Graham,0
22,Bob_Graham,0
24,Bob_Graham,0
26,Bob_Graham,0
28,Bob_Graham,0
30,Bob_Graham,0
32,Bob_Graham,0
34,Bob_Graham,0
36,Bob_Graham,0
38,Bob_Graham,0
40,Bob_Graham,0
0,Bob_Hope,0
2,Bob_Hope,0
4,Bob_Hope,0
6,Bob_Hope,0
8,Bob_Hope,0
10,Bob_Hope,0
