env_type,env_id,device_did,collision,re_register,ok
docker,1aa40d6c27e88dba64f53c74be9b62ef0c771a0d6edc75279baf9f29946cece9,didsm9:1aa40d6c27e88dba64f53c74be9b62ef0c771a0d6edc75279baf9f29946cece9@didsm9:user1:aaa:d727de5699eec14db932083f78676b96ca6e3db96bb526a5aaaacf9f5690b91e,0,1,1
docker,a750814d5a28ebebeb3053f3ce1e8110be3a5790fbd6b0ac76d5e4b45c118184,didsm9:a750814d5a28ebebeb3053f3ce1e8110be3a5790fbd6b0ac76d5e4b45c118184@didsm9:user1:aaa:b2c84bc4ddb613d5eef9d8d29d00a9b1829288d754b68c925c429276aac945bf,0,1,1
docker,e8bdcde93ea9ac7499b609e304ebbe5df7204f3f08f269a8c64b41f5d3532e31,didsm9:e8bdcde93ea9ac7499b609e304ebbe5df7204f3f08f269a8c64b41f5d3532e31@didsm9:user1:aaa:663c613260e23afc86ca00d08c17b8a69dd9f19051fc2819a7bb2120d8d432e4,0,1,1
docker,41955c32e92de4bb3721fc88f7d85563a3e51162e5b33e65bdcca72d4f758529,didsm9:41955c32e92de4bb3721fc88f7d85563a3e51162e5b33e65bdcca72d4f758529@didsm9:user1:aaa:f45005c1f8eaace664a24cb26ec7b905889937a6449e2c7c66c66a0f70634848,0,1,1
docker,993a1690afb4b050ce451ae67e0a8e46e6bdc0b24a88f9c2d18213ab1779e182,didsm9:993a1690afb4b050ce451ae67e0a8e46e6bdc0b24a88f9c2d18213ab1779e182@didsm9:user1:aaa:06dcc3c0183deaf555286c59de000014684022840855672da520464aad256c2b,0,1,1
docker,efded1f42ae47a9ac4534313ae7b21f756a9d284b340fd60f43ec89b7b05facb,didsm9:efded1f42ae47a9ac4534313ae7b21f756a9d284b340fd60f43ec89b7b05facb@didsm9:user1:aaa:54dd99f5ff848ff89b385271410dfcecda770b91a96bcd64c3ff47c2a5457644,0,1,1
docker,a9b78e6514f06534cee968069a79e7e7e75bd7f56c2dda866bf8655e39b0dafb,didsm9:a9b78e6514f06534cee968069a79e7e7e75bd7f56c2dda866bf8655e39b0dafb@didsm9:user1:aaa:753df9455977f640cf0be08813b18ab003855ef6d761a1e6ef2cc730a2ab32b6,0,1,1
docker,8baa084f21b9ae118778bbd6fa44d64745ae5cf37cd27495e25d2e4afe3d63b6,didsm9:8baa084f21b9ae118778bbd6fa44d64745ae5cf37cd27495e25d2e4afe3d63b6@didsm9:user1:aaa:ccb514ce94d88e014d5a00ef5e2773b04930916f6ddf2ac961182fc40714c54c,0,1,1
docker,1a5c2086160df4c83ba8352c16132333ed628e3b808ea96b99a37c975cae6f58,didsm9:1a5c2086160df4c83ba8352c16132333ed628e3b808ea96b99a37c975cae6f58@didsm9:user1:aaa:8bc5e02b914f707a9567dbb28070fdf3afad37f6289368c930e64b70d18947b8,0,1,1
docker,e23c6da38e7e5e080647f1d8e730e69855336daae581a6e47c9c2f2e41878cfd,didsm9:e23c6da38e7e5e080647f1d8e730e69855336daae581a6e47c9c2f2e41878cfd@didsm9:user1:aaa:f79a3632ac0e798aa9637c89bee6a75858c4cbf4105adb8090773f923914d081,0,1,1
docker,ade7af4a1378783b093f746768523d88b15469b8a1e3aee02917cc050ae6185a,didsm9:ade7af4a1378783b093f746768523d88b15469b8a1e3aee02917cc050ae6185a@didsm9:user1:aaa:e4852e4b3aad6dc5f9819f1213d6dc6fb3bd7c5aed7bd31633f56d718c68989f,0,1,1
docker,1f15589a532ea8a5c4e20f418eead123c2606ee7d455b0a2978755fa8d06088b,didsm9:1f15589a532ea8a5c4e20f418eead123c2606ee7d455b0a2978755fa8d06088b@didsm9:user1:aaa:5ef7c838a58f63638a401764cf82b677b959e3b49b0ecc94cedc891cb9e0a897,0,1,1
