attack_type,attempts,blocked,block_rate,note
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
did_spoofing,1,1,1.00000000,
